match,teamInning,battingPosition,batsman,R,B,M,4s,6s,SR,match_id,out/not_out
Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen ,3,6,7,0,0,50.00,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,2,Divan la Cock ,9,9,15,1,0,100.00,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton ,20,12,18,1,2,166.66,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,4,Stephan Baard ,26,24,49,2,0,108.33,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus (c),20,24,30,0,0,83.33,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck ,44,28,44,4,0,157.14,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,7,David Wiese ,0,1,4,0,0,0.00,T20I # 1823,out
Namibia Vs Sri Lanka,Namibia,8,JJ Smit ,31,16,29,2,2,193.75,T20I # 1823,not_out
Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,9,10,16,1,0,90.00,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis ,6,6,8,0,0,100.00,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,25,1,0,109.09,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,2,0,0,0.00,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,39,2,0,95.23,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka (c),29,23,37,2,1,126.08,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,9,0,0,50.00,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,5,8,15,0,0,62.50,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,0,0,4,0,0,-,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,8,15,20,0,0,53.33,T20I # 1823,out
Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,11,11,14,0,1,100.00,T20I # 1823,not_out
United Arab Emirates Vs Netherlands,United Arab Emirates,1,Chirag Suri ,12,20,28,1,0,60.00,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,2,Muhammad Waseem ,41,47,71,1,2,87.23,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,3,Kashif Daud ,15,14,19,0,1,107.14,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,4,Vriitya Aravind ,18,21,37,0,0,85.71,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,5,Zawar Farid ,2,4,8,0,0,50.00,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,6,Basil Hameed ,4,4,7,1,0,100.00,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,7,Chundangapoyil Rizwan (c),1,2,7,0,0,50.00,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,8,Aayan Afzal Khan ,5,7,8,0,0,71.42,T20I # 1825,out
United Arab Emirates Vs Netherlands,United Arab Emirates,9,Karthik Meiyappan ,0,0,4,0,0,-,T20I # 1825,not_out
