name,team,battingStyle,bowlingStyle,playingRole
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka (c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Chirag Suri,United Arab Emirates,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Muhammad Waseem,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Kashif Daud,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Vriitya Aravind,United Arab Emirates XI,Right hand Bat,,Wicketkeeper
Zawar Farid,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter
Chundangapoyil Rizwan (c),United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Karthik Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler
Junaid Siddique,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Scott Edwards (c),Netherlands,Right hand Bat,,Wicketkeeper Batter
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter
Richie Berrington (c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Evin Lewis,West Indies,Left hand Bat,,Opening Batter
Brandon King,West Indies,Right hand Bat,,Top order Batter
Nicholas Pooran (c),West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
